date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:29:42	110246/110246	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:39%20GMT	https://www.marketsandmarkets.com/aerospace-defence-148.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/aerospace-defence-148.html	(from https://www.marketsandmarkets.com/)
19:29:43	103126/103126	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:43%20GMT	https://www.marketsandmarkets.com/commercial-aviation-149.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/commercial-aviation-149.html	(from https://www.marketsandmarkets.com/)
19:29:44	99133/99133	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:44%20GMT	https://www.marketsandmarkets.com/defence-150.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/defence-150.html	(from https://www.marketsandmarkets.com/)
19:29:45	70194/70194	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:45%20GMT	https://www.marketsandmarkets.com/marine-214.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/marine-214.html	(from https://www.marketsandmarkets.com/)
19:29:46	73162/73162	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:45%20GMT	https://www.marketsandmarkets.com/communication-navigation-surveillance-215.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/communication-navigation-surveillance-215.html	(from https://www.marketsandmarkets.com/)
19:29:47	102086/102086	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:47%20GMT	https://www.marketsandmarkets.com/automotive-and-transportation-market-research-121.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/automotive-and-transportation-market-research-121.html	(from https://www.marketsandmarkets.com/)
19:29:48	65392/65392	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:47%20GMT	https://www.marketsandmarkets.com/automotive-engine-part-224.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/automotive-engine-part-224.html	(from https://www.marketsandmarkets.com/)
19:29:51	53335/53335	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:51%20GMT	https://www.marketsandmarkets.com/robotics-market-research-112.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/robotics-market-research-112.html	(from https://www.marketsandmarkets.com/)
19:29:51	108907/108907	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:50%20GMT	https://www.marketsandmarkets.com/industrial-automation-market-research-110.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/industrial-automation-market-research-110.html	(from https://www.marketsandmarkets.com/)
19:29:52	82788/82788	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:51%20GMT	https://www.marketsandmarkets.com/electrical-systems-and-components-market-research-265.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/electrical-systems-and-components-market-research-265.html	(from https://www.marketsandmarkets.com/)
19:29:53	93387/93387	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:53%20GMT	https://www.marketsandmarkets.com/testing-inspection-and-certification-tic-266.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/testing-inspection-and-certification-tic-266.html	(from https://www.marketsandmarkets.com/)
19:29:53	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2009%20Jun%202019%2013:59:54%20GMT	https://www.marketsandmarkets.com/factory-industrial-automation-research-140.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/factory-industrial-automation-research-140.4e.delayed	(from https://www.marketsandmarkets.com/)
19:29:55	108998/108998	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:55%20GMT	https://www.marketsandmarkets.com/factory-industrial-automation-140.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/factory-industrial-automation-140.html	(from https://www.marketsandmarkets.com/)
19:29:56	112330/112330	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:56%20GMT	https://www.marketsandmarkets.com/agriculture-market-research-173.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/agriculture-market-research-173.html	(from https://www.marketsandmarkets.com/)
19:29:57	105674/105674	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:57%20GMT	https://www.marketsandmarkets.com/agro-chemicals-market-research-56.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/agro-chemicals-market-research-56.html	(from https://www.marketsandmarkets.com/)
19:29:58	100548/100548	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:57%20GMT	https://www.marketsandmarkets.com/animal-husbandry-175.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/animal-husbandry-175.html	(from https://www.marketsandmarkets.com/)
19:29:59	69318/69318	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:59%20GMT	https://www.marketsandmarkets.com/irrigation-and-farm-equipment-market-research-203.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/irrigation-and-farm-equipment-market-research-203.html	(from https://www.marketsandmarkets.com/)
19:29:59	47980/47980	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2013:59:59%20GMT	https://www.marketsandmarkets.com/seeds-market-research-204.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/seeds-market-research-204.html	(from https://www.marketsandmarkets.com/)
19:30:00	55599/55599	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2014:00:01%20GMT	https://www.marketsandmarkets.com/agricultural-biologicals-market-research-205.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/agricultural-biologicals-market-research-205.html	(from https://www.marketsandmarkets.com/)
19:30:01	104240/104240	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2014:00:02%20GMT	https://www.marketsandmarkets.com/packaging-market-research-183.html	C:/My%20Web%20Sites/cascade/www.marketsandmarkets.com/packaging-market-research-183.html	(from https://www.marketsandmarkets.com/)
